state,action,pr,v,s_l,s_c,s_w,s_p,a_b,a_w,a_c,e,imbalance,E,reward,s_w_idx,s_w_str,s_p_idx,s_p_str,s_idx,steady_pr
"{'s_l': 4, 's_c': 12, 's_w': 18.5, 's_p': -22.5}","{'a_b': 2, 'a_w': 10, 'a_c': -8}",1,2.0682295520006164,4.0,12.0,18.5,-22.5,2,10,-8,12,False,10.0,-270.0,5,"[12, 25]",4,"[-25, -20]",3982,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 18.5, 's_p': -17.5}","{'a_b': 2, 'a_w': 10, 'a_c': -8}",1,78.72174314123527,4.0,12.0,18.5,-17.5,2,10,-8,12,False,10.0,-210.0,5,"[12, 25]",5,"[-20, -15]",3983,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 18.5, 's_p': -12.5}","{'a_b': 2, 'a_w': 10, 'a_c': 2}",1,165.32751017603346,4.0,12.0,18.5,-12.5,2,10,2,12,False,10.0,-150.0,5,"[12, 25]",6,"[-15, -10]",3984,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 18.5, 's_p': -7.5}","{'a_b': 2, 'a_w': 10, 'a_c': 2}",1,288.5798389346746,4.0,12.0,18.5,-7.5,2,10,2,12,False,10.0,-90.0,5,"[12, 25]",7,"[-10, -5]",3985,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 18.5, 's_p': -2.5}","{'a_b': 2, 'a_w': 10, 'a_c': 2}",1,419.36242384888027,4.0,12.0,18.5,-2.5,2,10,2,12,False,10.0,-30.000000000000007,5,"[12, 25]",8,"[-5, 0]",3986,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 18.5, 's_p': 2.5}","{'a_b': 2, 'a_w': 10, 'a_c': 12}",1,568.7253476529588,4.0,12.0,18.5,2.5,2,10,12,12,False,10.0,30.000000000000007,5,"[12, 25]",9,"[0, 5]",3987,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 18.5, 's_p': 7.5}","{'a_b': 2, 'a_w': 10, 'a_c': 20}",1,816.4840056976442,4.0,12.0,18.5,7.5,2,10,20,12,False,10.0,90.0,5,"[12, 25]",10,"[5, 10]",3988,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 18.5, 's_p': 12.5}","{'a_b': 2, 'a_w': 10, 'a_c': 20}",1,1075.8449574190374,4.0,12.0,18.5,12.5,2,10,20,12,False,10.0,150.0,5,"[12, 25]",11,"[10, 15]",3989,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 18.5, 's_p': 16}","{'a_b': 2, 'a_w': 10, 'a_c': 20}",1,3404.2012688480268,4.0,12.0,18.5,16.0,2,10,20,12,False,10.0,1650.0000000000002,5,"[12, 25]",12,"[15, inf]",3990,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 26, 's_p': -41}","{'a_b': 4, 'a_w': 0, 'a_c': -10}",1,-727.3173303516373,4.0,12.0,26.0,-41.0,4,0,-10,4,True,0.0,-999.9999999999998,6,"[25, inf]",0,"[-inf, -40]",3991,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 26, 's_p': -37.5}","{'a_b': 4, 'a_w': 0, 'a_c': -10}",1,-583.3453776072068,4.0,12.0,26.0,-37.5,4,0,-10,4,True,0.0,-850.0,6,"[25, inf]",1,"[-40, -35]",3992,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 26, 's_p': -32.5}","{'a_b': 4, 'a_w': 0, 'a_c': -10}",1,-520.8156069580378,4.0,12.0,26.0,-32.5,4,0,-10,4,True,0.0,-789.9999999999999,6,"[25, inf]",2,"[-35, -30]",3993,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 26, 's_p': -27.5}","{'a_b': 4, 'a_w': 0, 'a_c': -10}",1,-456.0843259066554,4.0,12.0,26.0,-27.5,4,0,-10,4,True,0.0,-730.0,6,"[25, inf]",3,"[-30, -25]",3994,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 26, 's_p': -22.5}","{'a_b': 4, 'a_w': 0, 'a_c': -10}",1,-389.31738411451806,4.0,12.0,26.0,-22.5,4,0,-10,4,True,0.0,-670.0,6,"[25, inf]",4,"[-25, -20]",3995,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 26, 's_p': -17.5}","{'a_b': 4, 'a_w': 0, 'a_c': -10}",1,-321.0384181702376,4.0,12.0,26.0,-17.5,4,0,-10,4,True,0.0,-610.0,6,"[25, inf]",5,"[-20, -15]",3996,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 26, 's_p': -12.5}","{'a_b': 4, 'a_w': 0, 'a_c': 0}",1,-244.65635797956207,4.0,12.0,26.0,-12.5,4,0,0,4,True,0.0,-550.0,6,"[25, inf]",6,"[-15, -10]",3997,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 26, 's_p': -7.5}","{'a_b': 4, 'a_w': 0, 'a_c': 0}",1,-132.65951227108565,4.0,12.0,26.0,-7.5,4,0,0,4,True,0.0,-490.0000000000001,6,"[25, inf]",7,"[-10, -5]",3998,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 26, 's_p': -2.5}","{'a_b': 4, 'a_w': 0, 'a_c': 0}",1,-14.391131738689978,4.0,12.0,26.0,-2.5,4,0,0,4,True,0.0,-430.0,6,"[25, inf]",8,"[-5, 0]",3999,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 26, 's_p': 2.5}","{'a_b': 4, 'a_w': 0, 'a_c': 10}",1,119.87589792201481,4.0,12.0,26.0,2.5,4,0,10,4,True,0.0,-370.0,6,"[25, inf]",9,"[0, 5]",4000,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 26, 's_p': 7.5}","{'a_b': 4, 'a_w': 0, 'a_c': 20}",1,364.28822215144214,4.0,12.0,26.0,7.5,4,0,20,4,True,0.0,-310.0,6,"[25, inf]",10,"[5, 10]",4001,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 26, 's_p': 12.5}","{'a_b': 4, 'a_w': 0, 'a_c': 20}",1,623.67378955765,4.0,12.0,26.0,12.5,4,0,20,4,True,0.0,-249.99999999999994,6,"[25, inf]",11,"[10, 15]",4002,-0.0
"{'s_l': 4, 's_c': 12, 's_w': 26, 's_p': 16}","{'a_b': 4, 'a_w': 0, 'a_c': 20}",1,2952.0927971629644,4.0,12.0,26.0,16.0,4,0,20,4,True,0.0,1250.0000000000002,6,"[25, inf]",12,"[15, inf]",4003,-0.0
"{'s_l': 4, 's_c': 14, 's_w': 4.15, 's_p': -41}","{'a_b': 4, 'a_w': 0, 'a_c': -10}",1,-927.372197602127,4.0,14.0,4.15,-41.0,4,0,-10,4,True,0.02086248285322362,-1200.0,0,"[0.0, 8.3]",0,"[-inf, -40]",4004,2.222901747359236e-07
"{'s_l': 4, 's_c': 14, 's_w': 4.15, 's_p': -37.5}","{'a_b': 4, 'a_w': 0, 'a_c': -10}",1,-758.4962160664169,4.0,14.0,4.15,-37.5,4,0,-10,4,True,0.02086248285322362,-1025.0,0,"[0.0, 8.3]",1,"[-40, -35]",4005,2.1140679531683623e-07
"{'s_l': 4, 's_c': 14, 's_w': 4.15, 's_p': -32.5}","{'a_b': 4, 'a_w': 0, 'a_c': -10}",1,-686.019892761816,4.0,14.0,4.15,-32.5,4,0,-10,4,True,0.02086248285322362,-955.0,0,"[0.0, 8.3]",2,"[-35, -30]",4006,3.651733439109684e-07
"{'s_l': 4, 's_c': 14, 's_w': 4.15, 's_p': -27.5}","{'a_b': 4, 'a_w': 0, 'a_c': -10}",1,-611.3539907504185,4.0,14.0,4.15,-27.5,4,0,-10,4,True,0.02086248285322362,-885.0,0,"[0.0, 8.3]",3,"[-30, -25]",4007,5.917239985006366e-07
"{'s_l': 4, 's_c': 14, 's_w': 4.15, 's_p': -22.5}","{'a_b': 4, 'a_w': 0, 'a_c': -10}",1,-534.6636794852469,4.0,14.0,4.15,-22.5,4,0,-10,4,True,0.02086248285322362,-815.0,0,"[0.0, 8.3]",4,"[-25, -20]",4008,8.994561252241831e-07
"{'s_l': 4, 's_c': 14, 's_w': 4.15, 's_p': -17.5}","{'a_b': 4, 'a_w': 0, 'a_c': -10}",1,-456.47065807049967,4.0,14.0,4.15,-17.5,4,0,-10,4,True,0.02086248285322362,-745.0000000000001,0,"[0.0, 8.3]",5,"[-20, -15]",4009,1.2825729100764674e-06
