q,t,action,v
29,13.0,15.0,345.2897471
29,14.0,10.0,245.0385
29,15.0,5.0,145.0
30,1.0,25.0,214.70286856324287
30,2.0,25.0,629.2579066672519
30,3.0,20.0,623.7587259349613
30,4.0,25.0,618.3567325688975
30,5.0,25.0,612.9521193113528
30,6.0,20.0,607.4337789394152
30,7.0,20.0,601.7500623918515
30,8.0,20.0,585.9083187282102
30,9.0,20.0,552.5271947480818
30,10.0,20.0,515.4186492659228
30,11.0,15.0,478.8998116202225
30,12.0,15.0,440.28918907144
30,13.0,15.0,350.4204202
30,14.0,10.0,250.25
30,15.0,5.0,150.0
31,1.0,25.0,219.5389261241997
31,2.0,25.0,648.0544507306499
31,3.0,25.0,642.6558212182249
31,4.0,25.0,637.2191550673851
31,5.0,25.0,631.7247255648143
31,6.0,20.0,626.2627312927575
31,7.0,20.0,620.0121419208034
31,8.0,20.0,598.8713803501505
31,9.0,20.0,563.7744952634082
31,10.0,20.0,526.9261551742314
31,11.0,15.0,490.1830405968748
31,12.0,15.0,449.44431572236
31,13.0,15.0,355.1864624
31,14.0,10.0,255.05450000000002
31,15.0,5.0,155.0
32,1.0,20.0,224.3173034246339
32,2.0,25.0,666.9220660485394
32,3.0,25.0,661.4742275393237
32,4.0,25.0,656.0423098927461
32,5.0,25.0,650.5378201063539
32,6.0,20.0,645.0616090822907
32,7.0,20.0,637.5718897193117
32,8.0,20.0,610.8025232661469
32,9.0,20.0,575.0382432957795
32,10.0,20.0,538.3587222686203
32,11.0,15.0,501.44007322199866
32,12.0,15.0,457.37870614235
32,13.0,15.0,360.08647940000003
32,14.0,10.0,259.9575
32,15.0,5.0,160.0
33,1.0,20.0,229.19020391664407
33,2.0,20.0,685.7553959155492
33,3.0,25.0,680.3302648130514
33,4.0,20.0,674.8506135475751
33,5.0,25.0,669.3633029168894
33,6.0,20.0,663.8819085035186
33,7.0,20.0,654.1299151604967
33,8.0,20.0,622.75926140112
33,9.0,20.0,586.1641837114512
33,10.0,15.0,549.6958480262122
33,11.0,15.0,512.8841284461762
33,12.0,15.0,463.7869312698
33,13.0,15.0,365.05745850000005
33,14.0,10.0,265.365
33,15.0,5.0,165.0
34,1.0,20.0,234.03263200145676
34,2.0,25.0,704.6064096379437
34,3.0,25.0,699.1275640837654
34,4.0,20.0,693.6917595117166
34,5.0,20.0,688.2203624633531
34,6.0,20.0,682.5571231495778
34,7.0,20.0,669.2828109594817
34,8.0,20.0,634.4239899779321
34,9.0,20.0,597.6166244610765
34,10.0,20.0,561.1023716314484
34,11.0,15.0,524.2980035113517
34,12.0,15.0,469.81499129480994
